pid,technique,granularity,language,time,accuracy
P01,AUTOCOMPASTE,paragraph,English,16.643,1
P01,AUTOCOMPASTE,paragraph,Latin,25.387,1
P01,AUTOCOMPASTE,phrase,English,13.789,1
P01,AUTOCOMPASTE,phrase,Latin,8.71,1
P01,AUTOCOMPASTE,sentence,English,4.624,1
P01,AUTOCOMPASTE,sentence,Latin,5.596,1
P01,TRADITIONAL,paragraph,English,3.924,1
P01,TRADITIONAL,paragraph,Latin,6.062,1
P01,TRADITIONAL,phrase,English,4.906,1
P01,TRADITIONAL,phrase,Latin,14.141,1
P01,TRADITIONAL,sentence,English,12.444,1
P01,TRADITIONAL,sentence,Latin,6.56,1
P01,AUTOCOMPASTE,paragraph,English,6.191,1
P01,AUTOCOMPASTE,paragraph,Latin,6.759,1
P01,AUTOCOMPASTE,phrase,English,12.565,1
P01,AUTOCOMPASTE,phrase,Latin,11.083,0
P01,AUTOCOMPASTE,sentence,English,5.449,1
P01,AUTOCOMPASTE,sentence,Latin,9.276,1
P01,TRADITIONAL,paragraph,English,14.6,1
P01,TRADITIONAL,paragraph,Latin,13.091,1
P01,TRADITIONAL,phrase,English,46.953,1
P01,TRADITIONAL,phrase,Latin,8.396,1
P01,TRADITIONAL,sentence,English,15.055,1
P01,TRADITIONAL,sentence,Latin,6.711,1
P01,AUTOCOMPASTE,paragraph,English,25.081,1
P01,AUTOCOMPASTE,paragraph,Latin,8.067,1
P01,AUTOCOMPASTE,phrase,English,9.414,1
P01,AUTOCOMPASTE,phrase,Latin,13.479,1
P01,AUTOCOMPASTE,sentence,English,4.042,1
P01,AUTOCOMPASTE,sentence,Latin,4.409,1
P01,TRADITIONAL,paragraph,English,6.355,1
P01,TRADITIONAL,paragraph,Latin,10.639,1
P01,TRADITIONAL,phrase,English,10.169,1
P01,TRADITIONAL,phrase,Latin,14.138,1
P01,TRADITIONAL,sentence,English,11.725,1
P01,TRADITIONAL,sentence,Latin,9.676,1
P01,AUTOCOMPASTE,paragraph,English,13.12,1
P01,AUTOCOMPASTE,paragraph,Latin,14.746,1
P01,AUTOCOMPASTE,phrase,English,10.581,1
P01,AUTOCOMPASTE,phrase,Latin,5.28,1
P01,AUTOCOMPASTE,sentence,English,4.501,1
P01,AUTOCOMPASTE,sentence,Latin,4.826,1
P01,TRADITIONAL,paragraph,English,9.752,1
P01,TRADITIONAL,paragraph,Latin,6.454,1
P01,TRADITIONAL,phrase,English,5.832,1
P01,TRADITIONAL,phrase,Latin,8.606,1
P01,TRADITIONAL,sentence,English,7.782,1
P01,TRADITIONAL,sentence,Latin,14.644,1
P01,AUTOCOMPASTE,paragraph,English,16.585,1
P01,AUTOCOMPASTE,paragraph,Latin,16.274,1
P01,AUTOCOMPASTE,phrase,English,12.837,1
P01,AUTOCOMPASTE,phrase,Latin,7.677,1
P01,AUTOCOMPASTE,sentence,English,4.803,1
P01,AUTOCOMPASTE,sentence,Latin,3.86,1
P01,TRADITIONAL,paragraph,English,8.015,1
P01,TRADITIONAL,paragraph,Latin,41.309,1
P01,TRADITIONAL,phrase,English,9.788,1
P01,TRADITIONAL,phrase,Latin,10.81,1
P01,TRADITIONAL,sentence,English,10.905,1
P01,TRADITIONAL,sentence,Latin,7.207,1
P01,AUTOCOMPASTE,paragraph,English,12.381,1
P01,AUTOCOMPASTE,paragraph,Latin,15.598,1
P01,AUTOCOMPASTE,phrase,English,10.35,1
P01,AUTOCOMPASTE,phrase,Latin,6.965,1
P01,AUTOCOMPASTE,sentence,English,3.474,1
P01,AUTOCOMPASTE,sentence,Latin,4.362,1
P01,TRADITIONAL,paragraph,English,14.332,1
P01,TRADITIONAL,paragraph,Latin,5.524,1
P01,TRADITIONAL,phrase,English,20.147,1
P01,TRADITIONAL,phrase,Latin,6.836,1
P01,TRADITIONAL,sentence,English,13.727,1
P01,TRADITIONAL,sentence,Latin,13.852,1
P02,AUTOCOMPASTE,paragraph,Latin,7.525,1
P02,AUTOCOMPASTE,paragraph,English,8.37,1
P02,AUTOCOMPASTE,phrase,Latin,19.62,1
P02,AUTOCOMPASTE,phrase,English,20.723,1
P02,AUTOCOMPASTE,sentence,Latin,11.272,1
P02,AUTOCOMPASTE,sentence,English,3.948,1
P02,TRADITIONAL,paragraph,Latin,8.077,1
P02,TRADITIONAL,paragraph,English,5.951,1
P02,TRADITIONAL,phrase,Latin,10.44,1
P02,TRADITIONAL,phrase,English,5.996,1
P02,TRADITIONAL,sentence,Latin,5.693,1
P02,TRADITIONAL,sentence,English,8.01,1
P02,AUTOCOMPASTE,paragraph,Latin,8.865,1
P02,AUTOCOMPASTE,paragraph,English,6.12,1
P02,AUTOCOMPASTE,phrase,Latin,7.91,1
P02,AUTOCOMPASTE,phrase,English,13.69,1
P02,AUTOCOMPASTE,sentence,Latin,5.895,1
P02,AUTOCOMPASTE,sentence,English,3.341,1
P02,TRADITIONAL,paragraph,Latin,8.607,1
P02,TRADITIONAL,paragraph,English,4.972,1
P02,TRADITIONAL,phrase,Latin,7.359,1
P02,TRADITIONAL,phrase,English,9.347,1
P02,TRADITIONAL,sentence,Latin,5.939,1
P02,TRADITIONAL,sentence,English,7.784,1
P02,AUTOCOMPASTE,paragraph,Latin,7.964,1
P02,AUTOCOMPASTE,paragraph,English,7.267,1
P02,AUTOCOMPASTE,phrase,Latin,11.959,1
P02,AUTOCOMPASTE,phrase,English,12.61,1
P02,AUTOCOMPASTE,sentence,Latin,7.583,1
P02,AUTOCOMPASTE,sentence,English,4.263,1
P02,TRADITIONAL,paragraph,Latin,9.439,1
P02,TRADITIONAL,paragraph,English,5.017,1
P02,TRADITIONAL,phrase,Latin,5.951,1
P02,TRADITIONAL,phrase,English,6.469,1
P02,TRADITIONAL,sentence,Latin,5.186,1
P02,TRADITIONAL,sentence,English,6.176,1
P02,AUTOCOMPASTE,paragraph,Latin,11.159,1
P02,AUTOCOMPASTE,paragraph,English,5.029,1
P02,AUTOCOMPASTE,phrase,Latin,9.134,1
P02,AUTOCOMPASTE,phrase,English,20.531,1
P02,AUTOCOMPASTE,sentence,Latin,6.94,1
P02,AUTOCOMPASTE,sentence,English,3.723,1
P02,TRADITIONAL,paragraph,Latin,5.748,1
P02,TRADITIONAL,paragraph,English,5.433,1
P02,TRADITIONAL,phrase,Latin,8.426,1
P02,TRADITIONAL,phrase,English,9.056,1
P02,TRADITIONAL,sentence,Latin,6.176,1
P02,TRADITIONAL,sentence,English,9.068,1
P02,AUTOCOMPASTE,paragraph,Latin,13.319,1
P02,AUTOCOMPASTE,paragraph,English,6.367,1
P02,AUTOCOMPASTE,phrase,Latin,21.206,1
P02,AUTOCOMPASTE,phrase,English,7.289,1
P02,AUTOCOMPASTE,sentence,Latin,14.569,1
P02,AUTOCOMPASTE,sentence,English,4.408,1
P02,TRADITIONAL,paragraph,Latin,8.651,1
P02,TRADITIONAL,paragraph,English,4.511,1
P02,TRADITIONAL,phrase,Latin,9.313,1
P02,TRADITIONAL,phrase,English,10.777,1
P02,TRADITIONAL,sentence,Latin,10.349,1
P02,TRADITIONAL,sentence,English,41.219,1
P02,AUTOCOMPASTE,paragraph,Latin,9.258,1
P02,AUTOCOMPASTE,paragraph,English,7.358,1
P02,AUTOCOMPASTE,phrase,Latin,12.737,1
P02,AUTOCOMPASTE,phrase,English,24.69,1
P02,AUTOCOMPASTE,sentence,Latin,5.365,1
P02,AUTOCOMPASTE,sentence,English,6.4,1
P02,TRADITIONAL,paragraph,Latin,4.601,1
P02,TRADITIONAL,paragraph,English,9.744,1
P02,TRADITIONAL,phrase,Latin,6.016,1
P02,TRADITIONAL,phrase,English,5.793,1
P02,TRADITIONAL,sentence,Latin,24.614,1
P02,TRADITIONAL,sentence,English,5.674,1
P03,AUTOCOMPASTE,phrase,English,6.95,0
P03,AUTOCOMPASTE,phrase,Latin,9.478,1
P03,AUTOCOMPASTE,sentence,English,6.138,1
P03,AUTOCOMPASTE,sentence,Latin,7.474,1
P03,AUTOCOMPASTE,paragraph,English,8.925,1
P03,AUTOCOMPASTE,paragraph,Latin,6.325,1
P03,TRADITIONAL,phrase,English,15.917,1
P03,TRADITIONAL,phrase,Latin,15.342,1
P03,TRADITIONAL,sentence,English,13.425,1
P03,TRADITIONAL,sentence,Latin,11.683,1
P03,TRADITIONAL,paragraph,English,4.835,1
P03,TRADITIONAL,paragraph,Latin,4.202,1
P03,AUTOCOMPASTE,phrase,English,13.23,1
P03,AUTOCOMPASTE,phrase,Latin,11.056,1
P03,AUTOCOMPASTE,sentence,English,4.776,1
P03,AUTOCOMPASTE,sentence,Latin,7.404,1
P03,AUTOCOMPASTE,paragraph,English,6.743,1
P03,AUTOCOMPASTE,paragraph,Latin,97.207,1
P03,TRADITIONAL,phrase,English,10.048,1
P03,TRADITIONAL,phrase,Latin,8.406,1
P03,TRADITIONAL,sentence,English,20.165,1
P03,TRADITIONAL,sentence,Latin,19.234,1
P03,TRADITIONAL,paragraph,English,5.846,1
P03,TRADITIONAL,paragraph,Latin,5.291,1
P03,AUTOCOMPASTE,phrase,English,18.137,1
P03,AUTOCOMPASTE,phrase,Latin,48.729,1
P03,AUTOCOMPASTE,sentence,English,6.64,1
P03,AUTOCOMPASTE,sentence,Latin,8.928,1
P03,AUTOCOMPASTE,paragraph,English,6.595,1
P03,AUTOCOMPASTE,paragraph,Latin,11.736,1
P03,TRADITIONAL,phrase,English,7.712,1
P03,TRADITIONAL,phrase,Latin,12.12,0
P03,TRADITIONAL,sentence,English,17.686,1
P03,TRADITIONAL,sentence,Latin,9.818,1
P03,TRADITIONAL,paragraph,English,16.448,1
P03,TRADITIONAL,paragraph,Latin,10.19,1
P03,AUTOCOMPASTE,phrase,English,17.97,1
P03,AUTOCOMPASTE,phrase,Latin,11.048,1
P03,AUTOCOMPASTE,sentence,English,5.227,1
P03,AUTOCOMPASTE,sentence,Latin,5.179,1
P03,AUTOCOMPASTE,paragraph,English,5.827,1
P03,AUTOCOMPASTE,paragraph,Latin,7.162,1
P03,TRADITIONAL,phrase,English,34.721,1
P03,TRADITIONAL,phrase,Latin,5.088,1
P03,TRADITIONAL,sentence,English,14.694,1
P03,TRADITIONAL,sentence,Latin,8.034,0
P03,TRADITIONAL,paragraph,English,48.739,1
P03,TRADITIONAL,paragraph,Latin,7.044,1
P03,AUTOCOMPASTE,phrase,English,11.907,1
P03,AUTOCOMPASTE,phrase,Latin,12.516,1
P03,AUTOCOMPASTE,sentence,English,6.29,1
P03,AUTOCOMPASTE,sentence,Latin,6.906,1
P03,AUTOCOMPASTE,paragraph,English,8.106,1
P03,AUTOCOMPASTE,paragraph,Latin,6.41,1
P03,TRADITIONAL,phrase,English,23.086,1
P03,TRADITIONAL,phrase,Latin,11.417,0
P03,TRADITIONAL,sentence,English,13.307,1
P03,TRADITIONAL,sentence,Latin,17.326,1
P03,TRADITIONAL,paragraph,English,3.8,1
P03,TRADITIONAL,paragraph,Latin,4.255,1
P03,AUTOCOMPASTE,phrase,English,12.931,1
P03,AUTOCOMPASTE,phrase,Latin,13.925,0
P03,AUTOCOMPASTE,sentence,English,4.773,1
P03,AUTOCOMPASTE,sentence,Latin,4.709,1
P03,AUTOCOMPASTE,paragraph,English,5.776,1
P03,AUTOCOMPASTE,paragraph,Latin,8.161,1
P03,TRADITIONAL,phrase,English,4.46,1
P03,TRADITIONAL,phrase,Latin,10.916,1
P03,TRADITIONAL,sentence,English,6.373,1
P03,TRADITIONAL,sentence,Latin,7.869,1
P03,TRADITIONAL,paragraph,English,6.773,1
