"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P08","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443237240981","1443237250841","9860","1"
"P08","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443237250841","1443237277221","26380","1"
"P08","AUTOCOMPASTE","phrase","English","3","number of positive charges","number of positive charges","1443237277221","1443237299631","22410","1"
"P08","TRADITIONAL","sentence","English","4","What is acceptor atoms?","What is acceptor atoms?","1443237299631","1443237309939","10308","1"
"P08","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443237309939","1443237319842","9903","1"
"P08","TRADITIONAL","phrase","English","6","number of positive charges","number of positive charges","1443237319842","1443237336281","16439","1"
"P08","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","1443237336281","1443237344717","8436","1"
"P08","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","1443237344717","1443237392611","47894","1"
"P08","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","fringilla tristique","1443237392611","1443237425172","32561","1"
"P08","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","Aliquam ut commodo ex, in consequat nibh.","1443237425172","1443237445512","20340","1"
"P08","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","1443237445512","1443237465600","20088","1"
"P08","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","sed consectetur tortor","1443237465600","1443237476990","11390","1"
