Participant id,Technique,Granularity,Language,Block no,Condition no,Stimuli,User Response,Trial Start Time,Trial End Time,Trial Time,Accuracy,,Legend,,,T2G2L1,T2G2L2,T2G3L1,T2G3L2,T2G1L1,T2G1L2,T1G2L1,T1G2L2,T1G3L1,T1G3L2,T1G1L1,T1G1L2
P09,TRADITIONAL,phrase,English,0,1,pervades this holy place,pervades this holy place,1.44325E+12,1.44325E+12,10737,1,,T1: Autocompaste,,Time,14427.5,13917.5,15058.5,15824,19040.16667,7262.166667,6543.666667,9533.5,5339.5,5422.333333,16863.5,15767.83333
P09,TRADITIONAL,phrase,Latin,0,2,dapibus nisl at neque,dapibus nisl at neque,1.44325E+12,1.44325E+12,27488,1,,T2: Traditional,,Accuracy,1,1,1,1,1,1,1,1,1,1,1,1
P09,TRADITIONAL,sentence,English,0,3,"The darkness pervades this holy place, he thought.","The darkness pervades this holy place, he thought.",1.44325E+12,1.44325E+12,8387,1,,G1: Paragraph,,Learning,0.8215,-2.5332,2.3585,-1.7306,-6.535,0.0299,-0.2821,-1.0981,-1.0739,-0.0572,-0.5547,-1.5552
P09,TRADITIONAL,sentence,Latin,0,4,Maecenas sit amet purus at enim molestie maximus at vel est.,Maecenas sit amet purus at enim molestie maximus at vel est.,1.44325E+12,1.44325E+12,17192,1,,G2: Phrase,,,,,,,,,,,,,,
P09,TRADITIONAL,paragraph,English,0,5,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,1.44325E+12,1.44325E+12,59216,1,,G3: Sentence,,Trial,T2G2L1,T2G2L2,T2G3L1,T2G3L2,T2G1L1,T2G1L2,T1G2L1,T1G2L2,T1G3L1,T1G3L2,T1G1L1,T1G1L2
P09,TRADITIONAL,paragraph,Latin,0,6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.",1.44325E+12,1.44325E+12,7520,1,,L1: English,,1,10.737,27.488,8.387,17.192,59.216,7.520,6.306,18.123,10.161,5.459,28.900,21.712
P09,AUTOCOMPASTE,phrase,English,0,7,directly involved more than,directly involved more than,1.44325E+12,1.44325E+12,6306,1,,L2: Latin,,2,7.667,10.548,17.200,17.618,7.496,7.745,8.029,7.021,5.182,4.901,14.513,12.510
P09,AUTOCOMPASTE,phrase,Latin,0,8,risus elit lobortis,risus elit lobortis,1.44325E+12,1.44325E+12,18123,1,,,,3,22.639,12.239,5.081,28.127,14.450,5.360,6.301,7.254,4.657,6.669,9.892,17.722
P09,AUTOCOMPASTE,sentence,English,0,9,A murmur from Auriel brought a fast response.,A murmur from Auriel brought a fast response.,1.44325E+12,1.44325E+12,10161,1,,,,4,11.049,11.799,17.743,10.612,7.196,8.562,7.759,6.687,4.706,4.077,9.546,16.270
P09,AUTOCOMPASTE,sentence,Latin,0,10,"Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.","Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.",1.44325E+12,1.44325E+12,5459,1,,,,5,27.669,13.147,23.139,5.608,16.159,6.626,5.025,8.385,3.969,7.276,11.340,19.427
P09,AUTOCOMPASTE,paragraph,English,0,11,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,1.44325E+12,1.44325E+12,28900,1,,,,6,6.804,8.284,18.801,15.787,9.724,7.760,5.842,9.731,3.362,4.152,26.990,6.966
