"Participant id","Technique","Granularity","Language","Trial no","Stimuli","User Response","Trial Start Time","Trial End Time","Trial Time","Accuracy"
"P10","AUTOCOMPASTE","sentence","English","1","What is acceptor atoms?","What is acceptor atoms?","1443321092369","1443321100926","8557","1"
"P10","AUTOCOMPASTE","paragraph","English","2","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443321100926","1443321108041","7115","1"
"P10","AUTOCOMPASTE","phrase","English","3","number of positive charges","number of positive charges","1443321108041","1443321127135","19094","1"
"P10","TRADITIONAL","sentence","English","4","What is acceptor atoms?","What is acceptor atoms?","1443321127135","1443321137373","10238","1"
"P10","TRADITIONAL","paragraph","English","5","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","What is AC coupling? Circuit that passes an AC signal while blocking a DC voltage.","1443321137373","1443321143144","5771","1"
"P10","TRADITIONAL","phrase","English","6","number of positive charges","number of positive charges","1443321143144","1443321146936","3792","1"
"P10","AUTOCOMPASTE","sentence","Latin","7","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","Nulla leo purus, interdum gravida purus eget, fermentum imperdiet ex.","1443321146936","1443321162409","15473","1"
"P10","AUTOCOMPASTE","paragraph","Latin","8","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","Suspendisse nulla elit, aliquam vitae venenatis nec, eleifend eu nulla. Donec non tortor eget urna bibendum cursus eget sed erat. Praesent vitae suscipit sem. Fusce tristique vitae augue et semper. Nulla ut commodo justo.","1443321162409","1443321175252","12843","1"
"P10","AUTOCOMPASTE","phrase","Latin","9","fringilla tristique","fringilla tristique","1443321175252","1443321191973","16721","1"
"P10","TRADITIONAL","sentence","Latin","10","Aliquam ut commodo ex, in consequat nibh.","Aliquam ut commodo ex, in consequat nibh.","1443321191973","1443321199159","7186","1"
"P10","TRADITIONAL","paragraph","Latin","11","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","Quisque tincidunt tristique arcu, ac scelerisque ex egestas condimentum. Nam in odio elementum, sodales sem non, hendrerit turpis.","1443321199159","1443321210190","11031","1"
"P10","TRADITIONAL","phrase","Latin","12","sed consectetur tortor","sed consectetur tortor","1443321210190","1443321220553","10363","1"
