Participant id,Technique,Granularity,Language,Block no,Condition no,Stimuli,User Response,Trial Start Time,Trial End Time,Trial Time,Accuracy,,Legend,,,T2G3L2,T2G3L1,T2G1L2,T2G1L1,T2G2L2,T2G2L1,T1G3L2,T1G3L1,T1G1L2,T1G1L1,T1G2L2,T1G2L1
P12,TRADITIONAL,sentence,Latin,0,1,"Etiam purus mauris, finibus et fermentum sed, commodo ac lorem.","Etiam purus mauris, finibus et fermentum sed, commodo ac lorem.",1.44324E+12,1.44324E+12,27493,1,,T1: Autocompaste,,Time,98519.33333,17650.33333,15135.16667,52486.66667,24351,15060.16667,16484,9134,21140.83333,18645.33333,18596.83333,36881.16667
P12,TRADITIONAL,sentence,English,0,2,"Leaders often split, forming branches in a tree-like pattern.","Leaders often split, forming branches in a tree-like pattern.",1.44324E+12,1.44324E+12,14953,1,,T2: Traditional,,Accuracy,0.666666667,1,1,0.833333333,1,0.833333333,1,1,1,1,1,0.833333333
P12,TRADITIONAL,paragraph,Latin,0,3,"Nullam eleifend lorem quis imperdiet iaculis. Pellentesque vel purus porta, fermentum ipsum non, tincidunt dui. Suspendisse scelerisque enim ac quam imperdiet laoreet.","Nullam eleifend lorem quis imperdiet iaculis. Pellentesque vel purus porta, fermentum ipsum non, tincidunt dui. Suspendisse scelerisque enim ac quam imperdiet laoreet.",1.44324E+12,1.44324E+12,19571,1,,G1: Paragraph,,Learning,50.812,0.4086,0.7509,-33.4,0.1682,-0.6838,0.9029,0.0559,1.836,1.0042,-3.4805,3.4567
P12,TRADITIONAL,paragraph,English,0,4,"We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.",,1.44324E+12,1.44324E+12,244035,0,,G2: Phrase,,,,,,,,,,,,,,
P12,TRADITIONAL,phrase,Latin,0,5,aliquet et dolor mattis,aliquet et dolor mattis,1.44324E+12,1.44324E+12,29274,1,,G3: Sentence,,Trial,T2G3L2,T2G3L1,T2G1L2,T2G1L1,T2G2L2,T2G2L1,T1G3L2,T1G3L1,T1G1L2,T1G1L1,T1G2L2,T1G2L1
P12,TRADITIONAL,phrase,English,0,6,directly involved more than,directly involved more tha,1.44324E+12,1.44324E+12,10484,0,,L1: English,,1,27.493,14.953,19.571,244.035,29.274,10.484,8.026,7.973,22.703,24.907,38.591,17.960
P12,AUTOCOMPASTE,sentence,Latin,0,7,"Etiam purus mauris, finibus et fermentum sed, commodo ac lorem.","Etiam purus mauris, finibus et fermentum sed, commodo ac lorem.",1.44324E+12,1.44324E+12,8026,1,,L2: Latin,,2,33.474,25.264,10.292,14.789,28.583,11.679,5.919,6.953,9.050,11.187,14.457,15.144
P12,AUTOCOMPASTE,sentence,English,0,8,"Leaders often split, forming branches in a tree-like pattern.","Leaders often split, forming branches in a tree-like pattern.",1.44324E+12,1.44324E+12,7973,1,,,,3,27.125,12.001,10.641,12.796,7.169,35.026,33.392,13.421,19.007,14.836,15.931,12.809
P12,AUTOCOMPASTE,paragraph,Latin,0,9,"Suspendisse lobortis sed est pharetra aliquam. In convallis urna id diam porttitor vehicula. Maecenas luctus mauris porttitor erat dictum, nec scelerisque felis feugiat.","Suspendisse lobortis sed est pharetra aliquam. In convallis urna id diam porttitor vehicula. Maecenas luctus mauris porttitor erat dictum, nec scelerisque felis feugiat.",1.44324E+12,1.44324E+12,22703,1,,,,4,11.332,14.383,15.392,21.450,23.810,11.047,29.016,11.291,24.864,16.953,12.857,144.040
P12,AUTOCOMPASTE,paragraph,English,0,10,"We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.","We had arrived in the middle of a funeral ceremony. A complex ritual that, despite all the assaults of the modern world. Remained almost identical to those described by Chagnon a quarter century earlier.",1.44324E+12,1.44324E+12,24907,1,,,,5,213.172,17.015,12.156,11.185,32.492,11.561,9.446,5.510,28.519,14.410,15.572,15.842
P12,AUTOCOMPASTE,phrase,Latin,0,11,risus elit lobortis,risus elit lobortis,1.44324E+12,1.44324E+12,38591,1,,,,6,278.520,22.286,22.759,10.665,24.778,10.564,13.105,9.656,22.702,29.579,14.173,15.492
P12,AUTOCOMPASTE,phrase,English,0,12,propagate and split as they,propagate and split as they,1.44324E+12,1.44324E+12,17960,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,sentence,Latin,0,13,Maecenas sit amet purus at enim molestie maximus at vel est.,Maecenas sit amet purus at enim molestie maximus at vel est.,1.44324E+12,1.44324E+12,33474,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,sentence,English,0,14,A murmur from Auriel brought a fast response.,A murmur from Auriel brought a fast response.,1.44324E+12,1.44324E+12,25264,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,paragraph,Latin,0,15,"Suspendisse lobortis sed est pharetra aliquam. In convallis urna id diam porttitor vehicula. Maecenas luctus mauris porttitor erat dictum, nec scelerisque felis feugiat.","Suspendisse lobortis sed est pharetra aliquam. In convallis urna id diam porttitor vehicula. Maecenas luctus mauris porttitor erat dictum, nec scelerisque felis feugiat.",1.44324E+12,1.44324E+12,10292,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,paragraph,English,0,16,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,1.44324E+12,1.44324E+12,14789,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,phrase,Latin,0,17,dapibus nisl at neque,dapibus nisl at neque,1.44324E+12,1.44324E+12,28583,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,phrase,English,0,18,pervades this holy place,pervades this holy place,1.44324E+12,1.44324E+12,11679,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,sentence,Latin,0,19,"Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.","Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.",1.44324E+12,1.44324E+12,5919,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,sentence,English,0,20,"Reluctantly, I hoisted the chalice to my lips.","Reluctantly, I hoisted the chalice to my lips.",1.44324E+12,1.44324E+12,6953,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,paragraph,Latin,0,21,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus lacus neque, fringilla quis tortor nec, accumsan volutpat sem.",1.44324E+12,1.44324E+12,9050,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,paragraph,English,0,22,"During the 20th century, over 200,000 humpbacks were estimated to have been taken. Reducing the global population by over 90%. With North Atlantic populations estimated to have dropped to as low as 700 individuals.","During the 20th century, over 200,000 humpbacks were estimated to have been taken. Reducing the global population by over 90%. With North Atlantic populations estimated to have dropped to as low as 700 individuals.",1.44324E+12,1.44324E+12,11187,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,phrase,Latin,0,23,bibendum mi vel neque,bibendum mi vel neque,1.44324E+12,1.44324E+12,14457,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,phrase,English,0,24,also known as the Second,also known as the Second,1.44324E+12,1.44324E+12,15144,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,sentence,Latin,0,25,"Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.","Donec eleifend arcu nisi, sed dapibus nunc facilisis eget.",1.44324E+12,1.44324E+12,27125,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,sentence,English,0,26,"The darkness pervades this holy place, he thought.","The darkness pervades this holy place, he thought.",1.44324E+12,1.44324E+12,12001,1,,,,,,,,,,,,,,,,
