Pid,T1G1,T1G2,T1G3,T2G1,T2G2,T2G3
1,14.736,10.2275,4.935166667,11.67141667,13.3935,10.85733334
2,8.21675,14.56058333,6.475583334,6.72925,7.911916667,11.324
3,14.91441667,15.65641667,6.28725,9.819416665,13.26941667,13.30116667
4,14.39583333,10.53783334,5.584916667,8.527333333,9.60575,11.45033334
5,8.943333332,10.08275,6.371583334,6.08425,9.56825,12.3345
6,10.89725,11.15258333,7.6165,14.62616667,11.62633334,16.72341667
7,7.169833334,12.58791667,4.543166667,6.148666667,7.3455,8.646
8,17.00883333,14.83083333,6.162,10.13058334,12.078,14.2665
9,16.31566667,8.038583334,5.380916667,13.15116667,14.1725,15.44125
10,8.928000002,18.26866667,6.49375,6.328,10.71941667,10.12358333
11,17.35516667,12.36575,19.05316667,11.21833333,13.36091667,18.10258334
12,19.89308333,27.739,12.809,33.81091667,19.70558334,58.08483333
